# BEGIN PLOT
LegendOnly=/Rivet.yoda/PHISTAR/Phistar
DrawOnly=/Rivet.yoda/PHISTAR/Phistar
Legend=1
LogX=1
# END PLOT

# BEGIN HISTO1D /Rivet.yoda/PHISTAR/Phistar
LineColor=red
LineStyle=solid
LogX=1
Path=/Rivet.yoda/PHISTAR/Phistar
ScaledBy=3.4302189277971618
Title=Rivet
XLabel=
YLabel=
ErrorBars=1
# xlow	 xhigh	 val	 errminus	 errplus
0.000001e+00	4.000000e-03	1.389239e+05	1.091489e+04	1.091489e+04
4.000000e-03	8.000000e-03	1.277756e+05	1.046779e+04	1.046779e+04
8.000000e-03	1.200000e-02	1.209152e+05	1.018290e+04	1.018290e+04
1.200000e-02	1.600000e-02	1.329210e+05	1.067647e+04	1.067647e+04
1.600000e-02	2.000000e-02	1.192001e+05	1.011042e+04	1.011042e+04
2.000000e-02	2.400000e-02	1.217728e+05	1.021894e+04	1.021894e+04
2.400000e-02	2.900000e-02	1.179995e+05	8.997380e+03	8.997380e+03
2.900000e-02	3.400000e-02	1.152554e+05	8.892145e+03	8.892145e+03
3.400000e-02	3.900000e-02	1.042787e+05	8.458116e+03	8.458116e+03
3.900000e-02	4.500000e-02	8.861398e+04	7.117646e+03	7.117646e+03
4.500000e-02	5.200000e-02	9.065579e+04	6.665145e+03	6.665145e+03
5.200000e-02	5.700000e-02	7.889504e+04	7.356999e+03	7.356999e+03
5.700000e-02	6.400000e-02	7.252463e+04	5.961487e+03	5.961487e+03
6.400000e-02	7.200000e-02	6.517416e+04	5.286322e+03	5.286322e+03
7.200000e-02	8.100000e-02	5.640804e+04	4.636712e+03	4.636712e+03
8.100000e-02	9.100000e-02	5.316839e+04	4.270588e+03	4.270588e+03
9.100000e-02	1.020000e-01	4.771123e+04	3.857224e+03	3.857224e+03
1.020000e-01	1.140000e-01	4.116262e+04	3.430219e+03	3.430219e+03
1.140000e-01	1.280000e-01	2.744175e+04	2.593002e+03	2.593002e+03
1.280000e-01	1.450000e-01	3.571464e+04	2.684476e+03	2.684476e+03
1.450000e-01	1.650000e-01	2.829930e+04	2.203098e+03	2.203098e+03
1.650000e-01	1.890000e-01	2.372568e+04	1.841470e+03	1.841470e+03
1.890000e-01	2.190000e-01	1.943791e+04	1.490819e+03	1.490819e+03
2.190000e-01	2.580000e-01	1.477633e+04	1.140019e+03	1.140019e+03
2.580000e-01	3.120000e-01	1.156111e+04	8.569663e+02	8.569663e+02
3.120000e-01	3.910000e-01	7.772268e+03	5.809266e+02	5.809266e+02
3.910000e-01	5.240000e-01	4.307117e+03	3.332947e+02	3.332947e+02
5.240000e-01	6.950000e-01	1.925737e+03	1.965447e+02	1.965447e+02
6.950000e-01	9.180000e-01	1.399775e+03	1.467364e+02	1.467364e+02
9.180000e-01	1.153000e+00	6.130604e+02	9.459728e+01	9.459728e+01
1.153000e+00	1.496000e+00	3.600230e+02	6.000383e+01	6.000383e+01
1.496000e+00	1.947000e+00	2.129626e+02	4.024615e+01	4.024615e+01
1.947000e+00	2.522000e+00	1.133464e+02	2.600344e+01	2.600344e+01
2.522000e+00	3.277000e+00	2.726001e+01	1.112886e+01	1.112886e+01
3.277000e+00	5.000000e+00	2.588093e+01	7.178078e+00	7.178078e+00
5.000000e+00	1.000000e+01	6.860438e+00	2.169461e+00	2.169461e+00
# END HISTO1D

