BEGIN YODA_HISTO1D /PHISTAR/Phistar
Path=/PHISTAR/Phistar
ScaledBy=3.4302189277971618
Title=
Type=Histo1D
XLabel=
YLabel=
# Mean: 2.220642e-01
# Area: 1.566581e+04
# ID	 ID	 sumw	 sumw2	 sumwx	 sumwx2	 numEntries
Total   	Total   	1.566581e+04	5.373716e+04	3.478816e+03	1.081988e+04	4567
Underflow	Underflow	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0
Overflow	Overflow	1.715109e+01	5.883201e+01	3.340039e+02	6.831546e+03	5
# xlow	 xhigh	 sumw	 sumw2	 sumwx	 sumwx2	 numEntries
0.000000e+00	4.000000e-03	5.556955e+02	1.906157e+03	1.078941e+00	2.769240e-03	162
4.000000e-03	8.000000e-03	5.111026e+02	1.753194e+03	3.093210e+00	1.935556e-02	149
8.000000e-03	1.200000e-02	4.836609e+02	1.659063e+03	4.839059e+00	4.901134e-02	141
1.200000e-02	1.600000e-02	5.316839e+02	1.823792e+03	7.534664e+00	1.074521e-01	155
1.600000e-02	2.000000e-02	4.768004e+02	1.635530e+03	8.484950e+00	1.516779e-01	139
2.000000e-02	2.400000e-02	4.870911e+02	1.670829e+03	1.068542e+01	2.350495e-01	142
2.400000e-02	2.900000e-02	5.899977e+02	2.023821e+03	1.552575e+01	4.097679e-01	172
2.900000e-02	3.400000e-02	5.762768e+02	1.976756e+03	1.805788e+01	5.669959e-01	168
3.400000e-02	3.900000e-02	5.213933e+02	1.788493e+03	1.906592e+01	6.982554e-01	152
3.900000e-02	4.500000e-02	5.316839e+02	1.823792e+03	2.226635e+01	9.340079e-01	155
4.500000e-02	5.200000e-02	6.345905e+02	2.176784e+03	3.085437e+01	1.502816e+00	185
5.200000e-02	5.700000e-02	3.944752e+02	1.353136e+03	2.153190e+01	1.176096e+00	115
5.700000e-02	6.400000e-02	5.076724e+02	1.741427e+03	3.057000e+01	1.842998e+00	148
6.400000e-02	7.200000e-02	5.213933e+02	1.788493e+03	3.531983e+01	2.395270e+00	152
7.200000e-02	8.100000e-02	5.076724e+02	1.741427e+03	3.867340e+01	2.948962e+00	148
8.100000e-02	9.100000e-02	5.316839e+02	1.823792e+03	4.575814e+01	3.942505e+00	155
9.100000e-02	1.020000e-01	5.248235e+02	1.800259e+03	5.062244e+01	4.888355e+00	153
1.020000e-01	1.140000e-01	4.939515e+02	1.694362e+03	5.349596e+01	5.799857e+00	144
1.140000e-01	1.280000e-01	3.841845e+02	1.317837e+03	4.633344e+01	5.594699e+00	112
1.280000e-01	1.450000e-01	6.071488e+02	2.082653e+03	8.290312e+01	1.133393e+01	177
1.450000e-01	1.650000e-01	5.659861e+02	1.941456e+03	8.768405e+01	1.360461e+01	165
1.650000e-01	1.890000e-01	5.694163e+02	1.953223e+03	1.002630e+02	1.768146e+01	166
1.890000e-01	2.190000e-01	5.831372e+02	2.000288e+03	1.193718e+02	2.447609e+01	170
2.190000e-01	2.580000e-01	5.762768e+02	1.976756e+03	1.362549e+02	3.228452e+01	168
2.580000e-01	3.120000e-01	6.242998e+02	2.141485e+03	1.758906e+02	4.969612e+01	182
3.120000e-01	3.910000e-01	6.140092e+02	2.106186e+03	2.132426e+02	7.437562e+01	179
3.910000e-01	5.240000e-01	5.728466e+02	1.964989e+03	2.578857e+02	1.169185e+02	167
5.240000e-01	6.950000e-01	3.293010e+02	1.129575e+03	1.981835e+02	1.200239e+02	96
6.950000e-01	9.180000e-01	3.121499e+02	1.070743e+03	2.465663e+02	1.961463e+02	91
9.180000e-01	1.153000e+00	1.440692e+02	4.941889e+02	1.465014e+02	1.495734e+02	42
1.153000e+00	1.496000e+00	1.234879e+02	4.235905e+02	1.573540e+02	2.015181e+02	36
1.496000e+00	1.947000e+00	9.604613e+01	3.294593e+02	1.607627e+02	2.706815e+02	28
1.947000e+00	2.522000e+00	6.517416e+01	2.235616e+02	1.412690e+02	3.080470e+02	19
2.522000e+00	3.277000e+00	2.058131e+01	7.059841e+01	5.652656e+01	1.560511e+02	6
3.277000e+00	5.000000e+00	4.459285e+01	1.529632e+02	1.801366e+02	7.409344e+02	13
5.000000e+00	1.000000e+01	3.430219e+01	1.176640e+02	2.202244e+02	1.471724e+03	10
END YODA_HISTO1D

BEGIN YODA_COUNTER /_EVTCOUNT
Path=/_EVTCOUNT
Title=
Type=Counter
# sumW	 sumW2	 numEntries
6.868000e+03	6.868000e+03	6868
END YODA_COUNTER

BEGIN YODA_SCATTER1D /_XSEC
Path=/_XSEC
Title=
Type=Scatter1D
# xval	 xerr-	 xerr+
2.355874e+04	1.699318e+01	1.699318e+01
END YODA_SCATTER1D

