# BEGIN PLOT
LegendOnly=//home/aevans/CMS/phistar/rivet/Rivet.yoda/PHISTAR/Phistar
DrawOnly=//home/aevans/CMS/phistar/rivet/Rivet.yoda/PHISTAR/Phistar
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/aevans/CMS/phistar/rivet/Rivet.yoda/PHISTAR/Phistar
LineColor=red
LineStyle=solid
Path=//home/aevans/CMS/phistar/rivet/Rivet.yoda/PHISTAR/Phistar
ScaledBy=3.4302189277971618
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	8.795081e+04	1.736924e+03	1.736924e+03
1.000000e-01	2.000000e-01	2.908826e+04	9.988948e+02	9.988948e+02
2.000000e-01	3.000000e-01	1.492145e+04	7.154289e+02	7.154289e+02
3.000000e-01	4.000000e-01	7.546482e+03	5.087836e+02	5.087836e+02
4.000000e-01	5.000000e-01	4.562191e+03	3.955921e+02	3.955921e+02
5.000000e-01	6.000000e-01	2.366851e+03	2.849354e+02	2.849354e+02
6.000000e-01	7.000000e-01	1.818016e+03	2.497237e+02	2.497237e+02
7.000000e-01	8.000000e-01	1.715109e+03	2.425531e+02	2.425531e+02
8.000000e-01	9.000000e-01	9.604613e+02	1.815101e+02	1.815101e+02
9.000000e-01	1.000000e+00	8.575547e+02	1.715109e+02	1.715109e+02
1.000000e+00	1.100000e+00	6.860438e+02	1.534040e+02	1.534040e+02
1.100000e+00	1.200000e+00	4.802306e+02	1.283470e+02	1.283470e+02
1.200000e+00	1.300000e+00	5.145328e+02	1.328518e+02	1.328518e+02
1.300000e+00	1.400000e+00	2.744175e+02	9.702125e+01	9.702125e+01
1.400000e+00	1.500000e+00	1.372088e+02	6.860438e+01	6.860438e+01
1.500000e+00	1.600000e+00	3.773241e+02	1.137675e+02	1.137675e+02
1.600000e+00	1.700000e+00	2.401153e+02	9.075506e+01	9.075506e+01
1.700000e+00	1.800000e+00	1.715109e+02	7.670203e+01	7.670203e+01
1.800000e+00	1.900000e+00	1.029066e+02	5.941314e+01	5.941314e+01
1.900000e+00	2.000000e+00	1.372088e+02	6.860438e+01	6.860438e+01
2.000000e+00	2.100000e+00	2.058131e+02	8.402286e+01	8.402286e+01
2.100000e+00	2.200000e+00	1.372088e+02	6.860438e+01	6.860438e+01
2.200000e+00	2.300000e+00	3.430219e+01	3.430219e+01	3.430219e+01
2.300000e+00	2.400000e+00	1.372088e+02	6.860438e+01	6.860438e+01
2.400000e+00	2.500000e+00	6.860438e+01	4.851062e+01	4.851062e+01
2.500000e+00	2.600000e+00	3.430219e+01	3.430219e+01	3.430219e+01
2.600000e+00	2.700000e+00	1.029066e+02	5.941314e+01	5.941314e+01
2.700000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	2.900000e+00	3.430219e+01	3.430219e+01	3.430219e+01
2.900000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

